ds,unemployment_rate
2017-01,4.7
2017-02,4.6
2017-03,4.4
2017-04,4.4
2017-05,4.4
2017-06,4.3
2017-07,4.3
2017-08,4.4
2017-09,4.3
2017-10,4.2
2017-11,4.2
2017-12,4.1
2018-01,4
2018-02,4.1
2018-03,4
2018-04,4
2018-05,3.8
2018-06,4
2018-07,3.8
2018-08,3.8
2018-09,3.7
2018-10,3.8
2018-11,3.8
2018-12,3.9
2019-01,4
2019-02,3.8
2019-03,3.8
2019-04,3.6
2019-05,3.6
2019-06,3.6
2019-07,3.7
2019-08,3.7
2019-09,3.5
2019-10,3.6
2019-11,3.6
2019-12,3.6
2020-01,3.5
2020-02,3.5
2020-03,4.4
2020-04,14.7
2020-05,13.2
2020-06,11
2020-07,10.2
2020-08,8.4
2020-09,7.9
2020-10,6.9
2020-11,6.7
2020-12,6.7
2021-01,6.4
2021-02,6.2
2021-03,6
2021-04,6
2021-05,5.8
2021-06,5.9
2021-07,5.4
2021-08,5.2
2021-09,4.7
2021-10,4.6
2021-11,4.2
2021-12,3.9
